"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29692","TC02 - Login with invalid credentials","OrangeHRM Automation Suite","2026-09-18","passed","2026-09-18","com.orangehrm.tests.LoginTests","Login & Authentication Tests","com.orangehrm.tests.LoginTests","testLoginWithInvalidCredentials"
"","36555","TC05 - Search for a non-existing employee","OrangeHRM Automation Suite","2026-09-18","passed","2026-09-18","com.orangehrm.tests.EmployeeSearchTests","PIM & Employee Management Tests","com.orangehrm.tests.EmployeeSearchTests","testSearchNonExistingEmployee"
"Logs in with valid credentials and verifies the dashboard is reached.","28630","TC01 - Login with valid credentials","OrangeHRM Automation Suite","2026-09-18","passed","2026-09-18","com.orangehrm.tests.LoginTests","Login & Authentication Tests","com.orangehrm.tests.LoginTests","testLoginWithValidCredentials"
"","37519","TC07 - Add employee with an empty required field","OrangeHRM Automation Suite","2026-09-18","passed","2026-09-18","com.orangehrm.tests.AddEmployeeTests","PIM & Employee Management Tests","com.orangehrm.tests.AddEmployeeTests","testAddEmployeeWithEmptyFirstName"
"","38398","TC10 - Verify the OrangeHRM footer branding link","OrangeHRM Automation Suite","2026-09-18","passed","2026-09-18","com.orangehrm.tests.UiTests","Admin & UI Features Tests","com.orangehrm.tests.UiTests","testFooterBrandingLink"
"","18471","TC11 - Verify the sidebar menu items","OrangeHRM Automation Suite","2026-09-18","passed","2026-09-18","com.orangehrm.tests.UiTests","Admin & UI Features Tests","com.orangehrm.tests.UiTests","testSidebarMenuItems"
"","19005","TC03 - Login with empty fields","OrangeHRM Automation Suite","2026-09-18","passed","2026-09-18","com.orangehrm.tests.LoginTests","Login & Authentication Tests","com.orangehrm.tests.LoginTests","testLoginWithEmptyFields"
"","46725","TC08 - End-to-end: add a new employee successfully","OrangeHRM Automation Suite","2026-09-18","passed","2026-09-18","com.orangehrm.tests.AddEmployeeTests","PIM & Employee Management Tests","com.orangehrm.tests.AddEmployeeTests","testAddEmployeeEndToEnd"
"","56351","TC08 - End-to-end: add a new employee successfully","OrangeHRM Automation Suite","2026-09-18","passed","2026-09-18","com.orangehrm.tests.AddEmployeeTests","PIM & Employee Management Tests","com.orangehrm.tests.AddEmployeeTests","testAddEmployeeEndToEnd"
"","16825","TC06 - Open the Add Employee page","OrangeHRM Automation Suite","2026-09-18","passed","2026-09-18","com.orangehrm.tests.AddEmployeeTests","PIM & Employee Management Tests","com.orangehrm.tests.AddEmployeeTests","testOpenAddEmployeePage"
"","33843","TC09 - Verify the Admin > Add User page fields","OrangeHRM Automation Suite","2026-09-18","passed","2026-09-18","com.orangehrm.tests.AdminTests","Admin & UI Features Tests","com.orangehrm.tests.AdminTests","testAddUserFormFields"
"","30475","TC04 - Search for an existing employee","OrangeHRM Automation Suite","2026-09-18","passed","2026-09-18","com.orangehrm.tests.EmployeeSearchTests","PIM & Employee Management Tests","com.orangehrm.tests.EmployeeSearchTests","testSearchExistingEmployee"
